1472,FILTRO OCB X-PERT EXTRA SLIM 5.2MM C/ 150,FILTRO OCB X-PERT EXTRA SLIM 5.2MM C/ 150,OCB,UN,,0,0,0,"4,62","4,7",10,,1,1,0,0,0,0,0,0,0,0,0,,,,,,0,,4,0,0,3057068067787,0,18,0,0,0,0,0,B,6/5/2014,SIM,NAO,,NAO,0,0,,0,22/03/2016,,240,0,"1,62",SIM,14/12/2016,0,0,(Blob),SIM,FILTRO OCB X-PERT EX,,,,,0,00 - PARA REVENDA,0,0,56012291,NAO,1,,,,,0,0,0,0,0,0,0,0,0,0,0,,,10,0,,0,"5,102",0,8,0,8,,0,,,,0,14/12/2016,12,,,,,,0,0,0,,,,0,0,0,,,0,"2,102",0,0,0,0,0,0,,100,0,0,,,0,0,,,,,T,A63CF6C181B47F70A8A3C7CB962C4B18,,0,0,0,0,  :  ,  :  ,,0,"23,61",0,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,,,0,"30,93",17,0,,,,0
1473,FUMEIRA EUROPEL P/ 02 CACHIMBOS,FUMEIRA EUROPEL P/ 02 CACHIMBOS,,UN,350,0,0,0,48,45939,100,,1,1,0,0,0,0,0,0,0,0,0,,,,,,0,,4,0,0,,0,18,0,0,0,0,0,B,6/5/2014,SIM,NAO,,NAO,0,0,,0,13/12/2016,,5,0,16981,SIM,20/03/2017,0,0,(Blob),SIM,FUMEIRA EUROPEL P/ 0,,,,,0,00 - PARA REVENDA,0,0,,NAO,1,,,,,0,0,0,0,0,0,0,0,0,0,0,,,100,0,,0,"5,102",0,8,0,8,,0,,,,0,6/5/2014,80,,,,,,0,0,0,,,,0,0,0,,,0,"2,102",0,0,0,0,0,0,,41,0,0,,,0,0,,,,,T,35700AA45175CB58A2FE4DAD746F8521,,0,0,0,0,  :  ,  :  ,,0,0,0,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,,,,0
1474,ISQUEIRO STAR TIPO ZIPPO KENTAI - NOBLE ELEGANT,ISQUEIRO STAR TIPO ZIPPO KENTAI - NOBLE ELEGANT,,UN,,0,0,0,"6,5","6,58",20,,1,1,0,0,0,0,0,0,0,0,0,,,,,,0,,4,0,0,,0,18,0,0,0,0,0,C,6/5/2014,SIM,NAO,,NAO,0,0,,0,10/10/2014,,30,0,12589,SIM,,0,0,(Blob),SIM,ISQUEIRO TIPO ZIPPO ,,,,,0,00 - PARA REVENDA,0,0,96138000,NAO,1,,,,,0,0,0,0,0,0,0,0,0,0,0,,,20,0,,0,"5,102",0,8,0,8,,0,,,,0,6/5/2014,20,,,,,,0,0,0,,,,0,0,0,,,0,"2,102",0,0,0,0,0,0,,200,0,0,,,0,0,,,,,T,07FE4F8C9E742677771B4AAD7EA54D5B,,0,0,0,0,  :  ,  :  ,,0,"30,59",0,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,,,0,"40,34",27,0,,,,0
1475,NARGUILE PEQUENO C/ MALETA C/ 02 SAIDAS,NARGUILE PEQUENO C/ MALETA C/ 02 SAIDAS,,UN,,0,0,0,45,"45,42",100,,1,1,0,0,0,0,0,0,0,0,0,,,,,,0,,"0,01",0,0,,0,18,0,0,0,0,0,B,6/5/2014,SIM,NAO,,NAO,0,0,,0,12/12/2014,,5,0,"0,9384",SIM,20/03/2017,0,0,(Blob),SIM,NARGUILE PEQUENO C/ ,,,,,0,00 - PARA REVENDA,0,0,96142000,NAO,1,,,,,0,0,0,0,0,0,0,0,0,0,0,,,100,0,,0,"5,102",0,8,0,8,,0,,,,0,6/5/2014,100,,,,,,0,0,0,,,,0,0,0,,,0,"2,102",0,0,0,0,0,0,,101,0,0,,,0,0,,,,,T,9EEDD5B6FC7F0932EC133C26E7BF3F24,,0,0,0,0,  :  ,  :  ,,0,0,0,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,,,,0
1476,REFIL PARA CIGARRO ELETRONICO CX C/ 10 UNIDADES,REFIL PARA CIGARRO ELETRONICO CX C/ 10 UNIDADES,,UN,,0,0,0,10,"10,22",25,,1,1,0,0,0,0,0,0,0,0,0,,,,,,60,,4,0,0,,0,0,0,0,0,0,0,C,6/5/2014,SIM,NAO,,NAO,0,0,,0,10/8/2014,,20,0,21764,SIM,20/03/2017,0,0,(Blob),SIM,REFIL PARA CIGARRO E,,,,,0,00 - PARA REVENDA,0,0,24022000,NAO,1,,,,,0,0,0,0,0,0,0,0,0,0,0,,,25,0,,0,"5,102",0,8,0,8,,0,,,,0,6/5/2014,25,,,,,,0,0,0,,,,0,0,0,,,0,"2,102",0,0,0,0,0,0,,200,0,0,,,0,0,,,,,T,20F710819BA60625F1AB6FC3E48D39C1,,0,0,0,0,  :  ,  :  ,,0,"31,1",0,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,,,0,"44,45",17,0,,,,0
1477,SEDA OCB ROLLS SLIM UNBLEACHED,SEDA OCB ROLLS SLIM UNBLEACHED,OCB,UN,,0,0,0,"5,15","5,2",15,,1,1,0,0,0,0,0,0,0,0,0,,,,,,0,,4,0,45,30110496,0,18,0,0,0,0,0,B,6/5/2014,SIM,NAO,,NAO,0,0,,0,22/03/2016,,120,0,"1,62",SIM,,0,0,(Blob),SIM,SEDA OCB ROLLS SLIM ,,,,,0,00 - PARA REVENDA,0,0,48131000,NAO,1,,,,,0,0,0,0,0,0,0,0,0,0,0,,,15,0,,0,"5,102",0,8,0,8,,0,,,,0,6/5/2014,10,,,,,,0,0,0,,,,0,0,0,,,0,"2,102",0,0,0,0,0,0,,100,0,0,,,0,0,,,,,T,48838DB29C923195E4DC9E6E6D85051D,,0,0,0,0,  :  ,  :  ,,0,"17,08",0,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,,,0,"20,75",12,0,,,,0
1478,CINZEIRO DE VIDRO ROMEO Y JULIETA ,CINZEIRO DE VIDRO ROMEO Y JULIETA ,,UN,REF 326-3,0,0,0,25,"25,63",60,,1,1,0,0,0,0,0,0,0,0,0,,,,,,0,,4,0,0,,0,18,0,0,0,0,0,C,6/5/2014,SIM,NAO,,NAO,0,0,,0,6/5/2014,,5,0,25251,SIM,,0,0,(Blob),SIM,CINZEIRO DE VIDRO RO,,,,,0,00 - PARA REVENDA,0,0,,NAO,1,,,,,0,0,0,0,0,0,0,0,0,0,0,,,60,0,,0,"5,102",0,8,0,8,,0,,,,0,6/5/2014,60,,,,,,0,0,0,,,,0,0,0,,,0,"2,102",0,0,0,0,0,0,,200,0,0,,,0,0,,,,,T,6BB77575656DE840E1141C6B880CA9F3,,0,0,0,0,  :  ,  :  ,,0,0,0,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,,,,0
1479,CINZEIRO DE VIDRO TRINIDAD ,CINZEIRO DE VIDRO TRINIDAD ,,UN,326-4,0,0,0,25,"25,21",60,,1,1,0,0,0,0,0,0,0,0,0,,,,,,0,,4,0,0,,0,18,0,0,0,0,0,C,6/5/2014,SIM,NAO,,NAO,0,0,,0,10/6/2014,,4,0,"0,4196",SIM,,0,0,(Blob),SIM,CINZEIRO DE VIDRO TR,,,,,0,00 - PARA REVENDA,0,0,,NAO,1,,,,,0,0,0,0,0,0,0,0,0,0,0,,,60,0,,0,"5,102",0,8,0,8,,0,,,,0,6/5/2014,60,,,,,,0,0,0,,,,0,0,0,,,0,"2,102",0,0,0,0,0,0,,200,0,0,,,0,0,,,,,T,5B21A95DA62FEDDEE167E6F506E8DE12,,0,0,0,0,  :  ,  :  ,,0,0,0,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,,,,0
1480,NARGUILE GRANDE 04 SAIDAS,NARGUILE GRANDE 04 SAIDAS,,UN,,0,0,0,190,190,400,,1,1,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,0,,0,18,0,0,0,0,0,B,6/6/2014,SIM,NAO,,NAO,0,0,,0,,,0,0,0,SIM,,0,0,(Blob),SIM,NARGUILE GRANDE 04 S,,,,,0,00 - PARA REVENDA,0,0,96142000,NAO,1,,,,,0,0,0,0,0,0,0,0,0,0,0,,,400,0,,0,"5,102",0,8,0,8,,0,,,,0,6/6/2014,430,,,,,,0,0,0,,,,0,0,0,,,0,,0,0,0,0,0,0,,10,0,0,,,0,0,,,,,T,,,0,0,0,0,  :  ,  :  ,,0,0,0,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,,,,0
1481,CACHACA MANGUEIRA OURO SEDUCAO 500 ML,CACHACA MANGUEIRA OURO SEDUCAO 500 ML,MANGUEIRA,UN,,0,0,0,"12,5","14,38",25,,1,1,0,0,0,0,0,0,0,0,0,,,,,,0,,12,0,15,7897916119475,0,25,0,0,0,0,0,B,6/11/2014,SIM,NAO,,NAO,0,0,,0,6/11/2014,,42,0,0,SIM,,0,0,(Blob),SIM,CACHACA MANGUEIRA OU,,,,,0,00 - PARA REVENDA,0,0,22084000,NAO,1,,,,,0,0,0,0,0,0,0,0,0,0,0,,,25,3,,0,"5,102",0,8,0,8,,0,,,,0,6/11/2014,5,,,,,,0,0,0,,,,0,0,0,,,0,"2,102",0,0,0,0,0,0,,0,0,0,,,0,0,,,,,T,,,0,0,0,0,  :  ,  :  ,,0,"35,87",0,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,,,0,"46,43","19,06",0,,,,0
